License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,213,wt,SUM,414,2725,7,18,5,10,4,5,13,2,3
2004,214,all_deer,N,29,138,5,4,4,0,0,0,4,0,4
2004,214,all_deer,R,391,2393,6,85,81,4,0,4,81,44,35
2004,214,all_deer,SUM,420,2530,6,89,85,4,0,4,85,44,39
2004,214,md,N,29,138,5,0,0,0,0,0,0,0,0
2004,214,md,R,391,2393,6,62,62,0,0,0,62,39,23
2004,214,md,SUM,420,2530,6,62,62,0,0,0,62,39,23
2004,214,wt,N,29,138,5,4,4,0,0,0,4,0,4
2004,214,wt,R,391,2393,6,23,19,4,0,4,19,6,12
2004,214,wt,SUM,420,2530,6,27,23,4,0,4,23,6,15
2004,215,all_deer,N,85,619,7,15,14,1,0,0,15,7,7
2004,215,all_deer,R,873,5933,7,306,282,20,4,23,283,144,110
2004,215,all_deer,SUM,958,6552,7,321,296,21,4,23,298,151,117
2004,215,md,N,85,619,7,14,14,0,0,0,14,7,7
2004,215,md,R,873,5933,7,195,187,5,3,19,176,91,73
2004,215,md,SUM,958,6552,7,209,201,5,3,19,191,98,80
2004,215,wt,N,85,619,7,0,0,0,0,0,0,0,0
2004,215,wt,R,873,5933,7,111,95,14,2,4,106,52,37
2004,215,wt,SUM,958,6552,7,111,95,14,2,4,106,52,37
2004,216,all_deer,N,57,258,5,14,14,0,0,0,14,0,14
2004,216,all_deer,R,379,2185,6,91,78,14,0,0,91,39,37
2004,216,all_deer,SUM,435,2444,6,105,92,14,0,0,105,39,51
2004,216,md,N,57,258,5,14,14,0,0,0,14,0,14
2004,216,md,R,379,2185,6,45,45,0,0,0,45,24,21
2004,216,md,SUM,435,2444,6,59,59,0,0,0,59,24,35
2004,216,wt,N,57,258,5,0,0,0,0,0,0,0,0
2004,216,wt,R,379,2185,6,46,33,14,0,0,46,15,16
